Data,Descrição da Transação,Valor,Conta Contábil
01/01/2025,Pagamento de aluguel da sede - Janeiro/2025,5500.00,Despesa - Aluguel
02/01/2025,Compra de suprimentos de escritório - Papelaria X,230.50,Despesa - Materiais de Escritório
03/01/2025,PIX recebido de Cliente ABC - Consultoria Fev,15000.00,Receita - Serviços Prestados
04/01/2025,Conta de luz - Eletropaulo - Fatura jan/2025,480.75,Despesa - Energia Elétrica
05/01/2025,Salário do mês de Dezembro/2024 - João da Silva,3000.00,Despesa - Salários
06/01/2025,Serviços de limpeza - Empresa Clean,600.00,Despesa - Serviços de Manutenção
07/01/2025,Assinatura software de gestão - Licença anual,1200.00,Despesa - Softwares e Licenças
08/01/2025,Venda de produto XYZ - NF 00123,8500.00,Receita Vendas de Produtos
09/01/2025,Manutenção de computadores - Tech Suporte,350.00,Despesa - Manutenção de Equipamentos
10/01/2025,Internet banda larga - Vivo Fibra,180.00,Despesa - Internet
11/01/2025,Pagamento de conta de água - Sabesp,120.00,Despesa - Água e Esgoto
12/01/2025,Almoço de negócios - Restaurante Sabor,280.00,Despesa - Refeições
13/01/2025,Material de consumo cozinha - Supermercado Bom Preço,95.00,Despesa - Materiais de Consumo
14/01/2025,Taxa bancária mensal - Banco A,45.00,Despesa - Taxas Bancárias
15/01/2025,Receita de juros - Aplicação CDB,150.00,Receita - Financeiras
16/01/2025,Combustível veículo empresa - Posto Shell,180.00,Despesa - Combustível
17/01/2025,Compra de passagens aéreas - Viagem a serviço - Decolar,950.00,Despesa - Viagens
18/01/2025,Honorários contábeis - Escritório Contábil XYZ,700.00,Despesa - Honorários Profissionais
19/01/2025,Pagamento de seguro predial - Porto Seguro,400.00,Despesa - Seguros
20/01/2025,Receita de aluguel de imóvel - Locação sala comercial,2500.00,Receita - Aluguel
21/01/2025,Despesas com correios - Envio de documentos,35.00,Despesa - Correios e Malotes
22/01/2025,Compra de notebooks para equipe - Loja de Eletrônicos,4200.00,Despesa - Equipamentos de Informática
23/01/2025,Serviços gráficos - Cartões de visita,180.00,Despesa - Serviços Gráficos
24/01/2025,Recarga de celular corporativo - Vivo,80.00,Despesa - Telefonia
25/01/2025,Despesas com estacionamento - Reunião cliente,50.00,Despesa - Deslocamento
26/01/2025,Mensalidade de plano de saúde - Unimed,850.00,Despesa - Benefícios a Funcionários
27/01/2025,Compra de flores para recepção - Floricultura,70.00,Despesa - Despesas Administrativas
28/01/2025,Treinamento de equipe - Curso de Excel,600.00,Despesa - Treinamento e Desenvolvimento
29/01/2025,Reparo de ar condicionado - Climatização LTDA,450.00,Despesa - Manutenção Predial
30/01/2025,Serviço de motoboy - Entrega urgente,60.00,Despesa - Serviços de Entrega
31/01/2025,Receita de consultoria em TI - Projeto Delta,18000.00,Receita - Serviços Prestados
01/02/2025,Pagamento de aluguel da sede - Fevereiro/2025,5500.00,Despesa - Aluguel
02/02/2025,Compra de canetas e cadernos - Bazar do Escritório,150.00,Despesa - Materiais de Escritório
03/02/2025,Transferência recebida de Cliente XYZ - Projeto Beta,22000.00,Receita - Serviços Prestados
04/02/2025,Fatura de internet e telefone - Net Combo - Fev/2025,320.00,Despesa - Internet
05/02/2025,Pró-labore dos sócios - Fev/2025,7000.00,Despesa - Pró-labore
06/02/2025,Reparos hidráulicos - Encanador Z,280.00,Despesa - Manutenção Predial
07/02/2025,Licença de software de segurança - Kaspersky,500.00,Despesa - Softwares e Licenças
08/02/2025,Receita de vendas ecommerce - Pedido #4567,10500.00,Receita Vendas de Produtos
09/02/2025,Atualização de sistema - Consultoria de TI,1800.00,Despesa - Serviços de TI
10/02/2025,Mensalidade de telefonia fixa - Oi Fixo,90.00,Despesa - Telefonia
11/02/2025,Despesas com lixo e reciclagem - Cia. Coleta,80.00,Despesa - Despesas Administrativas
12/02/2025,Jantar com fornecedores - Churrascaria Gaúcha,450.00,Despesa - Representação
13/02/2025,Produtos de limpeza para escritório - Atacadão,110.00,Despesa - Materiais de Limpeza
14/02/2025,Tarifas bancárias - TED e DOC,30.00,Despesa - Taxas Bancárias
15/02/2025,Rendimento de aplicação financeira - LCI,200.00,Receita - Financeiras
16/02/2025,Abastecimento de veículo - Posto Ipiranga,200.00,Despesa - Combustível
17/02/2025,Passagens de ônibus - Viagem a negócios - Rodoviária,110.00,Despesa - Viagens
18/02/2025,Consultoria jurídica - Dr. Silva,900.00,Despesa - Honorários Profissionais
19/02/2025,Pagamento de seguro de frota - Allianz,700.00,Despesa - Seguros
20/02/2025,Receita de sublocação - Parte do escritório,1000.00,Receita - Aluguel
21/02/2025,Envio de Sedex - Documentos importantes,40.00,Despesa - Correios e Malotes
22/02/2025,Compra de impressora multifuncional - Kalunga,800.00,Despesa - Equipamentos de Informática
23/02/2025,Criação de folder promocional - Gráfica Rápida,250.00,Despesa - Marketing e Publicidade
24/02/2025,Serviços de telefonia celular - Claro,120.00,Despesa - Telefonia
25/02/2025,Táxi para compromisso - Cliente importante,70.00,Despesa - Deslocamento
26/02/2025,Vale-alimentação funcionários - Sodexo,1500.00,Despesa - Benefícios a Funcionários
27/02/2025,Decoração do escritório - Loja de Decoração,300.00,Despesa - Despesas Administrativas
28/02/2025,Inscrição em workshop - Desenvolvimento de Habilidades,400.00,Despesa - Treinamento e Desenvolvimento
01/03/2025,Pagamento de aluguel da sede - Março/2025,5500.00,Despesa - Aluguel
02/03/2025,Resma de papel A4 - Kalunga,80.00,Despesa - Materiais de Escritório
03/03/2025,PIX recebido de Empresa Gama - Desenvolvimento de Software,25000.00,Receita - Serviços Prestados
04/03/2025,Fatura de água e esgoto - Fev/2025,135.00,Despesa - Água e Esgoto
05/03/2025,FGTS do mês - Fevereiro/2025,800.00,Despesa - Encargos Sociais
06/03/2025,Conserto de porta - Serralheria do Zé,200.00,Despesa - Manutenção Predial
07/03/2025,Assinatura de revista técnica - TI Agora,70.00,Despesa - Assinaturas e Publicações
08/03/2025,Venda de serviço de hospedagem - Cliente Virtual Host,5000.00,Receita - Serviços Prestados
09/03/2025,Formatação de computadores - Suporte de TI,400.00,Despesa - Serviços de TI
10/03/2025,Conta de telefone - Embratel - Mar/2025,280.00,Despesa - Telefonia
11/03/2025,Materiais para copa - Padaria Pão Quente,65.00,Despesa - Materiais de Consumo
12/03/2025,Coffee break para reunião - Pão de Queijo Mania,180.00,Despesa - Refeições
13/03/2025,Compra de toner para impressora - Print Max,120.00,Despesa - Materiais de Escritório
14/03/2025,TED para fornecedor - Compras diversas,15.00,Despesa - Taxas Bancárias
15/03/2025,Resgate de aplicação financeira - Juros,90.00,Receita - Financeiras
16/03/2025,Lavagem de carro da empresa - Lava Rápido,50.00,Despesa - Manutenção de Veículos
17/03/2025,Hospedagem em hotel - Viagem a negócios - Hotel Central,300.00,Despesa - Viagens
18/03/2025,Abono de férias - Funcionário XYZ,1200.00,Despesa - Salários
19/03/2025,Reembolso de despesas - Funcionário Pedro,250.00,Despesa - Reembolsos
20/03/2025,Receita de treinamento - Curso online,3000.00,Receita - Serviços Prestados
21/03/2025,Compra de selos - Correios,25.00,Despesa - Correios e Malotes
22/03/2025,Serviço de cópias e encadernação - Copiadora Digital,45.00,Despesa - Serviços Gráficos
23/03/2025,Recarga de cartucho de tinta - Cia. da Tinta,60.00,Despesa - Materiais de Escritório
24/03/2025,Conserto de telhado - Telhados e Cia,700.00,Despesa - Manutenção Predial
25/03/2025,Compra de lixeiras - Utilidades do Lar,90.00,Despesa - Materiais de Consumo
26/03/2025,Almoço em equipe - Pizzaria do Chefe,220.00,Despesa - Refeições
27/03/2025,Consultoria de marketing digital - Agência Online,1500.00,Despesa - Marketing e Publicidade
28/03/2025,Pagamento de pedágios - Viagem a trabalho,35.00,Despesa - Deslocamento
