Data,Descrição da Transação,Valor
01/01/2025,Pagamento de aluguel da sede - Janeiro/2025,5500.00
02/01/2025,Compra de suprimentos de escritório - Papelaria X,230.50
03/01/2025,PIX recebido de Cliente ABC - Consultoria Fev,15000.00
04/01/2025,Conta de luz - Eletropaulo - Fatura jan/2025,480.75
05/01/2025,Salário do mês de Dezembro/2024 - João da Silva,3000.00
06/01/2025,Serviços de limpeza - Empresa Clean,600.00
07/01/2025,Assinatura software de gestão - Licença anual,1200.00
08/01/2025,Venda de produto XYZ - NF 00123,8500.00
09/01/2025,Manutenção de computadores - Tech Suporte,350.00
10/01/2025,Internet banda larga - Vivo Fibra,180.00
11/01/2025,Pagamento de conta de água - Sabesp,120.00
12/01/2025,Almoço de negócios - Restaurante Sabor,280.00
13/01/2025,Material de consumo cozinha - Supermercado Bom Preço,95.00
14/01/2025,Taxa bancária mensal - Banco A,45.00
15/01/2025,Receita de juros - Aplicação CDB,150.00
16/01/2025,Combustível veículo empresa - Posto Shell,180.00
17/01/2025,Compra de passagens aéreas - Viagem a serviço - Decolar,950.00
18/01/2025,Honorários contábeis - Escritório Contábil XYZ,700.00
19/01/2025,Pagamento de seguro predial - Porto Seguro,400.00
20/01/2025,Receita de aluguel de imóvel - Locação sala comercial,2500.00
21/01/2025,Despesas com correios - Envio de documentos,35.00
22/01/2025,Compra de notebooks para equipe - Loja de Eletrônicos,4200.00
23/01/2025,Serviços gráficos - Cartões de visita,180.00
24/01/2025,Recarga de celular corporativo - Vivo,80.00
25/01/2025,Despesas com estacionamento - Reunião cliente,50.00
26/01/2025,Mensalidade de plano de saúde - Unimed,850.00
27/01/2025,Compra de flores para recepção - Floricultura,70.00
28/01/2025,Treinamento de equipe - Curso de Excel,600.00
29/01/2025,Reparo de ar condicionado - Climatização LTDA,450.00
30/01/2025,Serviço de motoboy - Entrega urgente,60.00
31/01/2025,Receita de consultoria em TI - Projeto Delta,18000.00
01/02/2025,Pagamento de aluguel da sede - Fevereiro/2025,5500.00
02/02/2025,Compra de canetas e cadernos - Bazar do Escritório,150.00
03/02/2025,Transferência recebida de Cliente XYZ - Projeto Beta,22000.00
04/02/2025,Fatura de internet e telefone - Net Combo - Fev/2025,320.00
05/02/2025,Pró-labore dos sócios - Fev/2025,7000.00
06/02/2025,Reparos hidráulicos - Encanador Z,280.00
07/02/2025,Licença de software de segurança - Kaspersky,500.00
08/02/2025,Receita de vendas ecommerce - Pedido #4567,10500.00
09/02/2025,Atualização de sistema - Consultoria de TI,1800.00
10/02/2025,Mensalidade de telefonia fixa - Oi Fixo,90.00
11/02/2025,Despesas com lixo e reciclagem - Cia. Coleta,80.00
12/02/2025,Jantar com fornecedores - Churrascaria Gaúcha,450.00
13/02/2025,Produtos de limpeza para escritório - Atacadão,110.00
14/02/2025,Tarifas bancárias - TED e DOC,30.00
15/02/2025,Rendimento de aplicação financeira - LCI,200.00
16/02/2025,Abastecimento de veículo - Posto Ipiranga,200.00
17/02/2025,Passagens de ônibus - Viagem a negócios - Rodoviária,110.00
18/02/2025,Consultoria jurídica - Dr. Silva,900.00
19/02/2025,Pagamento de seguro de frota - Allianz,700.00
20/02/2025,Receita de sublocação - Parte do escritório,1000.00
21/02/2025,Envio de Sedex - Documentos importantes,40.00
22/02/2025,Compra de impressora multifuncional - Kalunga,800.00
23/02/2025,Criação de folder promocional - Gráfica Rápida,250.00
24/02/2025,Serviços de telefonia celular - Claro,120.00
25/02/2025,Táxi para compromisso - Cliente importante,70.00
26/02/2025,Vale-alimentação funcionários - Sodexo,1500.00
27/02/2025,Decoração do escritório - Loja de Decoração,300.00
28/02/2025,Inscrição em workshop - Desenvolvimento de Habilidades,400.00
01/03/2025,Pagamento de aluguel da sede - Março/2025,5500.00
